Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_35.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_C1.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_MTX.wiff
P82675	P82675	RT05_HUMAN	MRPS5	28S ribosomal protein S5, mitochondrial	29.0746	30.157	42.5019
P82909	P82909	RT36_HUMAN	MRPS36	28S ribosomal protein S36, mitochondrial			14.9427
P82912	P82912	RT11_HUMAN	MRPS11	28S ribosomal protein S11, mitochondrial	61.4341	59.8542	36.9363
P82914	P82914	RT15_HUMAN	MRPS15	28S ribosomal protein S15, mitochondrial	18.1513		22.0202
P82921	P82921	RT21_HUMAN	MRPS21	28S ribosomal protein S21, mitochondrial	22.5517	18.4205	15.6154
P82930	P82930	RT34_HUMAN	MRPS34	28S ribosomal protein S34, mitochondrial	40.5776	51.3658	44.1169
P82932	P82932	RT06_HUMAN	MRPS6	28S ribosomal protein S6, mitochondrial	19.977	28.8279	15.6698
P82933	P82933	RT09_HUMAN	MRPS9	28S ribosomal protein S9, mitochondrial	34.1938	31.313	40.5849
P82979	P82979	SARNP_HUMAN	SARNP	SAP domain-containing ribonucleoprotein	93.034	138.05	75.2103
P83731	P83731	RL24_HUMAN	RPL24	60S ribosomal protein L24	569.216	643.802	722.018
P83876	P83876	TXN4A_HUMAN	TXNL4A	Thioredoxin-like protein 4A	27.1707	20.1633	15.8934
P83881	P83881	RL36A_HUMAN	RPL36A	60S ribosomal protein L36a	51.5447	43.0612	61.6243
P83881;Q969Q0	Q969Q0;P83881	RL36A_HUMAN;RL36L_HUMAN	RPL36A;RPL36AL	60S ribosomal protein L36a	272.465	330.435	426.922
P83916	P83916	CBX1_HUMAN	CBX1	Chromobox protein homolog 1	30.7386	20.7578	47.9328
P83916;Q13185	P83916;Q13185	CBX1_HUMAN;CBX3_HUMAN	CBX1;CBX3	Chromobox protein homolog 1	87.4823	111.955	125.215
P84085	P84085	ARF5_HUMAN	ARF5	ADP-ribosylation factor 5	86.6418	85.5802	89.8135
P84095	P84095	RHOG_HUMAN	RHOG	Rho-related GTP-binding protein RhoG	21.7913	17.125	16.1907
P84098	P84098	RL19_HUMAN	RPL19	60S ribosomal protein L19	679.562	671.622	710.897
P84101	P84101	SERF2_HUMAN	SERF2	Small EDRK-rich factor 2	23.7604		13.6217
P84103	P84103	SRSF3_HUMAN	SRSF3	Serine/arginine-rich splicing factor 3	238.59	299.502	265.402
P84103;Q16629	P84103;Q16629	SRSF3_HUMAN;SRSF7_HUMAN	SRSF3;SRSF7	Serine/arginine-rich splicing factor 3	27.1403	34.0928	9.81287
P85037	P85037	FOXK1_HUMAN	FOXK1	Forkhead box protein K1	22.8281	22.6436	22.4309
P98175	P98175	RBM10_HUMAN	RBM10	RNA-binding protein 10		21.2684	14.6936
P98179	P98179	RBM3_HUMAN	RBM3	RNA-binding protein 3	39.6372	54.2611	49.428
P99999	P99999	CYC_HUMAN	CYCS	Cytochrome c	171.167	162.241	164.222
Q00059	Q00059	TFAM_HUMAN	TFAM	Transcription factor A, mitochondrial	40.281	60.1255	44.5753
Q00169	Q00169	PIPNA_HUMAN	PITPNA	Phosphatidylinositol transfer protein alpha isoform	7.07786		9.86113
Q00325	Q00325	MPCP_HUMAN	SLC25A3	Phosphate carrier protein, mitochondrial	1425.26	1330.8	1349.08
Q00341	Q00341	VIGLN_HUMAN	HDLBP	Vigilin	33.7337	51.1644	37.1389
Q00403	Q00403	TF2B_HUMAN	GTF2B	Transcription initiation factor IIB	21.8794	17.8824	26.4529
Q00534	Q00534	CDK6_HUMAN	CDK6	Cyclin-dependent kinase 6	35.3707	36.3453	31.7291
Q00537	Q00537	CDK17_HUMAN	CDK17	Cyclin-dependent kinase 17		60.0221	
Q00577	Q00577	PURA_HUMAN	PURA	Transcriptional activator protein Pur-alpha	9.63212		7.25138
Q00610	Q00610;P53675	CLH1_HUMAN	CLTC	Clathrin heavy chain 1	420.876	452.576	431.291
Q00613	Q00613	HSF1_HUMAN	HSF1	Heat shock factor protein 1	23.6931		22.7926
Q00653	Q00653	NFKB2_HUMAN	NFKB2	Nuclear factor NF-kappa-B p100 subunit	16.9848	26.0602	16.3823
Q00688	Q00688	FKBP3_HUMAN	FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3	80.7936	58.3596	73.1578
Q00765	Q00765	REEP5_HUMAN	REEP5	Receptor expression-enhancing protein 5	45.9901	43.1149	36.4406
Q00796	Q00796	DHSO_HUMAN	SORD	Sorbitol dehydrogenase	214.019	253.159	242.134
Q00839	Q00839	HNRPU_HUMAN	HNRNPU	Heterogeneous nuclear ribonucleoprotein U	443.293	500.805	431.195
Q01082	Q01082	SPTB2_HUMAN	SPTBN1	Spectrin beta chain, non-erythrocytic 1	38.8404	49.5197	38.3478
Q01085	Q01085;P31483	TIAR_HUMAN	TIAL1	Nucleolysin TIAR	85.5642	87.1088	87.6203
Q01105	Q01105;P0DME0	SET_HUMAN	SET	Protein SET	823.407	914.66	843.107
Q01130	Q9BRL6;Q01130	SRSF2_HUMAN	SRSF2	Serine/arginine-rich splicing factor 2	262.134	312.777	247.736
Q01469	Q01469	FABP5_HUMAN	FABP5	Fatty acid-binding protein 5	519.579	696.299	571.005
Q01518	Q01518	CAP1_HUMAN	CAP1	Adenylyl cyclase-associated protein 1	398.625	370.701	415.406
Q01581	Q01581	HMCS1_HUMAN	HMGCS1	Hydroxymethylglutaryl-CoA synthase, cytoplasmic	34.5768	28.0873	43.0535
Q01650	Q01650	LAT1_HUMAN	SLC7A5	Large neutral amino acids transporter small subunit 1	186.522	162.684	139.861
Q01780	Q01780	EXOSX_HUMAN	EXOSC10	Exosome component 10	41.828	36.7535	26.0645
Q01813	Q01813	PFKAP_HUMAN	PFKP	ATP-dependent 6-phosphofructokinase, platelet type	213.092	213.222	222.198
Q01844	Q01844	EWS_HUMAN	EWSR1	RNA-binding protein EWS	169.818	172.821	224.158
Q01970	Q01970	PLCB3_HUMAN	PLCB3	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	47.3987	40.0171	38.5135
Q02127	Q02127	PYRD_HUMAN	DHODH	Dihydroorotate dehydrogenase (quinone), mitochondrial	12.8648		13.2548
Q02218	Q02218	ODO1_HUMAN	OGDH	2-oxoglutarate dehydrogenase, mitochondrial	23.6373	24.8744	30.8281
Q02224	Q02224	CENPE_HUMAN	CENPE	Centromere-associated protein E	61.1776	89.9174	57.4673
Q02241	Q02241	KIF23_HUMAN	KIF23	Kinesin-like protein KIF23		6.06863	13.2773
Q02338	Q02338	BDH_HUMAN	BDH1	D-beta-hydroxybutyrate dehydrogenase, mitochondrial	22.7529	30.6554	21.528
Q02543	Q02543	RL18A_HUMAN	RPL18A	60S ribosomal protein L18a	370.624	433.053	368.136
Q02750	Q02750	MP2K1_HUMAN	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1	38.9317	30.2829	35.0052
Q02790	Q02790	FKBP4_HUMAN	FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4	366.586	369.72	377.253
Q02809	Q02809	PLOD1_HUMAN	PLOD1	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	37.8031	30.0926	36.6134
Q02818	Q02818	NUCB1_HUMAN	NUCB1	Nucleobindin-1	18.4587	40.3417	20.3111
Q02878	Q02878	RL6_HUMAN	RPL6	60S ribosomal protein L6	986.983	951.376	950.992
Q02880	Q02880	TOP2B_HUMAN	TOP2B	DNA topoisomerase 2-beta	18.9747	7.0688	10.7228
Q02952	Q02952	AKA12_HUMAN	AKAP12	A-kinase anchor protein 12	292.004	296.143	362.567
Q02978	Q02978	M2OM_HUMAN	SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier protein	59.9728	66.9889	44.9869
Q03135	Q03135	CAV1_HUMAN	CAV1	Caveolin-1	52.7719	73.4383	66.2757
Q03252	Q03252	LMNB2_HUMAN	LMNB2	Lamin-B2	16.0357	25.4492	7.83245
Q04206	Q04206	TF65_HUMAN	RELA	Transcription factor p65	31.6952		23.2632
Q04323	Q04323	UBXN1_HUMAN	UBXN1	UBX domain-containing protein 1	46.2584	60.1479	37.5577
Q04446	Q04446	GLGB_HUMAN	GBE1	1,4-alpha-glucan-branching enzyme		3.2698	17.6804
Q04637	Q04637	IF4G1_HUMAN	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	195.333	192.042	185.976
Q04695	Q04695	K1C17_HUMAN	KRT17	Keratin, type I cytoskeletal 17	108.014		48.3812
Q04721	Q04721	NOTC2_HUMAN	NOTCH2	Neurogenic locus notch homolog protein 2	3.55665		3.76754
Q04726	Q04726	TLE3_HUMAN	TLE3	Transducin-like enhancer protein 3	27.6777	23.004	34.3351
Q04756	Q04756	HGFA_HUMAN	HGFAC	Hepatocyte growth factor activator	16.2746	24.7288	13.3032
Q04760	Q04760	LGUL_HUMAN	GLO1	Lactoylglutathione lyase	258.356	282.053	295.032
Q04837	Q04837	SSBP_HUMAN	SSBP1	Single-stranded DNA-binding protein, mitochondrial	96.8561	103.334	106.624
Q04917	Q04917	1433F_HUMAN	YWHAH	14-3-3 protein eta	210.117	227.083	186.165
Q04941	Q04941	PLP2_HUMAN	PLP2	Proteolipid protein 2	33.8309	20.1032	39.8309
Q05048	Q05048	CSTF1_HUMAN	CSTF1	Cleavage stimulation factor subunit 1	23.4921	40.5316	14.7505
Q05086	Q05086	UBE3A_HUMAN	UBE3A	Ubiquitin-protein ligase E3A	27.3173	29.1426	19.0778
Q05193	Q05193;Q9UQ16	DYN1_HUMAN	DNM1	Dynamin-1	6.70226		
Q05397	Q05397	FAK1_HUMAN	PTK2	Focal adhesion kinase 1	24.6586	13.67	23.9792
Q05481;Q9UJW7;Q9Y5A6	Q0VGE8;Q9P0L1;P0CJ79;Q7L2R6;Q8NCK3;Q05481;Q9Y5A6;Q86XN6;Q5VIY5;A2RRD8;Q96IR2;Q96N58;A6NHJ4;Q8N782;Q8N4W9;P17035;Q9UJW7;Q6ZN06;Q9H963;Q96NL3;Q9NV72;Q8NB50	ZN229_HUMAN;ZNF91_HUMAN;ZSC21_HUMAN	ZNF229;ZNF91;ZSCAN21	Zinc finger protein 91			1.01179
Q05519	Q05519	SRS11_HUMAN	SRSF11	Serine/arginine-rich splicing factor 11	87.8226	73.7996	89.1452
Q05639	Q05639	EF1A2_HUMAN	EEF1A2	Elongation factor 1-alpha 2	7242.76	7170.93	7277.36
Q05655	Q05655	KPCD_HUMAN	PRKCD	Protein kinase C delta type	13.7828	7.25584	12.7447
Q05682	Q05682	CALD1_HUMAN	CALD1	Caldesmon	35.5859	27.851	30.2345
Q06033	Q06033	ITIH3_HUMAN	ITIH3	Inter-alpha-trypsin inhibitor heavy chain H3	109.892	185.61	100.165
Q06124	Q06124	PTN11_HUMAN	PTPN11	Tyrosine-protein phosphatase non-receptor type 11	54.7605	66.6478	54.4678
Q06136	Q06136	KDSR_HUMAN	KDSR	3-ketodihydrosphingosine reductase	12.507		16.109
Q06203	Q06203	PUR1_HUMAN	PPAT	Amidophosphoribosyltransferase	152.36	169.397	145.452
Q06210	Q06210	GFPT1_HUMAN	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	83.1697	88.888	81.8841
Q06265	Q06265	EXOS9_HUMAN	EXOSC9	Exosome complex component RRP45	44.4065	39.5	55.1589
Q06323	Q06323	PSME1_HUMAN	PSME1	Proteasome activator complex subunit 1	49.233	50.5777	64.8597
Q06546	Q06546	GABPA_HUMAN	GABPA	GA-binding protein alpha chain		13.1843	18.0431
Q06587;Q99496	Q06587;Q99496	RING1_HUMAN;RING2_HUMAN	RING1;RNF2	E3 ubiquitin-protein ligase RING1			15.3747
Q06609	Q06609	RAD51_HUMAN	RAD51	DNA repair protein RAD51 homolog 1			5.84518
Q06830	Q06830	PRDX1_HUMAN	PRDX1	Peroxiredoxin-1	2134.9	2133.02	2388.97
Q06830;Q13162	Q13162;Q06830	PRDX1_HUMAN;PRDX4_HUMAN	PRDX1;PRDX4	Peroxiredoxin-1	732.208	761.819	867.543
Q07020	Q07020	RL18_HUMAN	RPL18	60S ribosomal protein L18	800.618	832.094	775.06
Q07021	Q07021	C1QBP_HUMAN	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial	355.149	323.189	329.852
Q07065	Q07065	CKAP4_HUMAN	CKAP4	Cytoskeleton-associated protein 4	46.6025	60.4081	42.6486
Q07157	Q07157	ZO1_HUMAN	TJP1	Tight junction protein ZO-1	26.3831	24.3388	15.3825
Q07666	Q07666	KHDR1_HUMAN	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1	199.219	213.13	182.379
Q07812	Q07812	BAX_HUMAN	BAX	Apoptosis regulator BAX	21.6686	28.1194	30.3021
Q07817	Q07817	B2CL1_HUMAN	BCL2L1	Bcl-2-like protein 1			15.9102
Q07864	Q07864	DPOE1_HUMAN	POLE	DNA polymerase epsilon catalytic subunit A	5.26079	10.2799	13.4344
Q07866	Q07866	KLC1_HUMAN	KLC1	Kinesin light chain 1	34.1002	34.8174	29.6207
Q07866;Q9H0B6	Q9H0B6;Q07866	KLC1_HUMAN;KLC2_HUMAN	KLC1;KLC2	Kinesin light chain 1	38.1208	36.3081	25.1735
Q07955	Q07955	SRSF1_HUMAN	SRSF1	Serine/arginine-rich splicing factor 1	145.491	180.15	134.482
Q07960	Q07960	RHG01_HUMAN	ARHGAP1	Rho GTPase-activating protein 1	36.3308	46.3388	37.0431
Q08209	Q08209	PP2BA_HUMAN	PPP3CA	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform	60.0424	66.2266	74.2659
Q08211	Q08211	DHX9_HUMAN	DHX9	ATP-dependent RNA helicase A	106.689	114.489	103.979
Q08257	Q08257	QOR_HUMAN	CRYZ	Quinone oxidoreductase	44.8256	35.7633	38.4679
Q08378	Q08378	GOGA3_HUMAN	GOLGA3	Golgin subfamily A member 3			31.6877
Q08379	Q08379	GOGA2_HUMAN	GOLGA2	Golgin subfamily A member 2			9.43623
Q08380	Q08380	LG3BP_HUMAN	LGALS3BP	Galectin-3-binding protein	55.0943	47.0596	47.2498
Q08623	Q08623	HDHD1_HUMAN	PUDP	Pseudouridine-5'-phosphatase			11.7445
Q08752	Q08752	PPID_HUMAN	PPID	Peptidyl-prolyl cis-trans isomerase D	67.1364	83.055	80.923
Q08945	Q08945	SSRP1_HUMAN	SSRP1	FACT complex subunit SSRP1	275.289	280.769	275.609
Q08AM6	Q08AM6	VAC14_HUMAN	VAC14	Protein VAC14 homolog	3.24358		13.0447
Q08J23	Q08J23	NSUN2_HUMAN	NSUN2	RNA cytosine C(5)-methyltransferase NSUN2	85.4638	88.7747	78.9779
Q09028	Q09028	RBBP4_HUMAN	RBBP4	Histone-binding protein RBBP4	122.519	104.452	115.889
Q09028;Q16576	Q09028;Q16576	RBBP4_HUMAN;RBBP7_HUMAN	RBBP4;RBBP7	Histone-binding protein RBBP4	190.593	213.388	214.527
Q09161	Q09161	NCBP1_HUMAN	NCBP1	Nuclear cap-binding protein subunit 1	46.9959	40.724	39.7471
Q09666	Q09666	AHNK_HUMAN	AHNAK	Neuroblast differentiation-associated protein AHNAK	106.596	119.221	113.215
Q0VDF9	Q0VDF9	HSP7E_HUMAN	HSPA14	Heat shock 70 kDa protein 14	56.3224	53.402	70.3742
Q10471	Q10471	GALT2_HUMAN	GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2		4.68186	49.0756
Q10567	Q10567	AP1B1_HUMAN	AP1B1	AP-1 complex subunit beta-1	41.6448	59.8906	50.4611
Q10570	Q10570	CPSF1_HUMAN	CPSF1	Cleavage and polyadenylation specificity factor subunit 1	20.8164	12.3756	20.4127
Q10713	Q10713	MPPA_HUMAN	PMPCA	Mitochondrial-processing peptidase subunit alpha	56.5076	59.5416	48.9672
Q12765	Q12765	SCRN1_HUMAN	SCRN1	Secernin-1	45.027	38.4972	44.4327
Q12769	Q12769	NU160_HUMAN	NUP160	Nuclear pore complex protein Nup160	8.94963	7.71429	7.90089
Q12788	Q12788	TBL3_HUMAN	TBL3	Transducin beta-like protein 3			9.37965
Q12789	Q12789	TF3C1_HUMAN	GTF3C1	General transcription factor 3C polypeptide 1	18.162	45.9306	42.3651
Q12792	Q12792	TWF1_HUMAN	TWF1	Twinfilin-1	86.5181	75.5504	84.8715
Q12797	Q12797	ASPH_HUMAN	ASPH	Aspartyl/asparaginyl beta-hydroxylase	43.291	37.1753	39.7641
Q12800	Q12800;Q9NZI7	TFCP2_HUMAN	TFCP2	Alpha-globin transcription factor CP2	16.1647	17.2144	13.5533
Q12824	Q12824	SNF5_HUMAN	SMARCB1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	44.6985	49.4604	59.3938
Q12834	Q12834	CDC20_HUMAN	CDC20	Cell division cycle protein 20 homolog	6.96283		
Q12849	Q12849	GRSF1_HUMAN	GRSF1	G-rich sequence factor 1	83.6301	102.54	104.437
Q12874	Q12874	SF3A3_HUMAN	SF3A3	Splicing factor 3A subunit 3	55.4257	54.2475	58.4234
Q12888	Q12888	TP53B_HUMAN	TP53BP1	TP53-binding protein 1	16.3639		11.1305
Q12904	Q12904	AIMP1_HUMAN	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	121.939	125.532	122.972
Q12905	Q12905	ILF2_HUMAN	ILF2	Interleukin enhancer-binding factor 2	212.218	213.812	189.556
Q12906	Q12906;Q96SI9	ILF3_HUMAN	ILF3	Interleukin enhancer-binding factor 3	159.644	151.047	161.444
Q12907	Q12907	LMAN2_HUMAN	LMAN2	Vesicular integral-membrane protein VIP36	34.1515	61.88	49.7593
Q12929	Q12929	EPS8_HUMAN	EPS8	Epidermal growth factor receptor kinase substrate 8	5.86166		
Q12931	Q12931	TRAP1_HUMAN	TRAP1	Heat shock protein 75 kDa, mitochondrial	511.952	493.76	459.707
Q12933	Q12933	TRAF2_HUMAN	TRAF2	TNF receptor-associated factor 2			6.40745
Q12959	Q12959	DLG1_HUMAN	DLG1	Disks large homolog 1			31.4478
Q12965	Q12965	MYO1E_HUMAN	MYO1E	Unconventional myosin-Ie			8.52177
Q12972	Q12972	PP1R8_HUMAN	PPP1R8	Nuclear inhibitor of protein phosphatase 1	28.053	18.8125	33.2777
Q12974;Q93096	Q93096;Q12974	TP4A1_HUMAN;TP4A2_HUMAN	PTP4A1;PTP4A2	Protein tyrosine phosphatase type IVA 2	27.8393	27.3788	20.7399
Q12979	Q12979	ABR_HUMAN	ABR	Active breakpoint cluster region-related protein	6.90206		
Q12981	Q12981	SEC20_HUMAN	BNIP1	Vesicle transport protein SEC20	20.7121	20.4739	20.3423
Q12996	Q12996	CSTF3_HUMAN	CSTF3	Cleavage stimulation factor subunit 3	21.7477	32.4791	22.4645
Q13011	Q13011	ECH1_HUMAN	ECH1	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	36.1873	40.496	49.723
Q13033	Q13033	STRN3_HUMAN	STRN3	Striatin-3	20.2832	17.8504	20.6021
Q13045	Q13045	FLII_HUMAN	FLII	Protein flightless-1 homolog	30.3957	28.6012	36.2159
Q13057	Q13057	COASY_HUMAN	COASY	Bifunctional coenzyme A synthase		11.0362	12.0447
Q13084	Q13084	RM28_HUMAN	MRPL28	39S ribosomal protein L28, mitochondrial	14.4792		9.92474
Q13085	O00763;Q13085	ACACA_HUMAN	ACACA	Acetyl-CoA carboxylase 1	51.2135	48.7996	42.2148
Q13098	Q13098	CSN1_HUMAN	GPS1	COP9 signalosome complex subunit 1	80.8447	74.1502	64.0928
Q13112	Q13112	CAF1B_HUMAN	CHAF1B	Chromatin assembly factor 1 subunit B	17.4156		17.0098
Q13123	Q13123	RED_HUMAN	IK	Protein Red	18.6555	28.2858	14.244
Q13126	Q13126	MTAP_HUMAN	MTAP	S-methyl-5'-thioadenosine phosphorylase	338.493	335.203	308.733
Q13131	Q13131	AAPK1_HUMAN	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1	37.2261	20.7864	36.1829
Q13136	Q13136	LIPA1_HUMAN	PPFIA1	Liprin-alpha-1	39.7382	54.081	56.7485
Q13144	Q13144	EI2BE_HUMAN	EIF2B5	Translation initiation factor eIF-2B subunit epsilon	18.2826		22.814
Q13148	Q13148	TADBP_HUMAN	TARDBP	TAR DNA-binding protein 43	84.0617	97.3033	88.0262
Q13151	Q13151	ROA0_HUMAN	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	51.7314	70.1981	47.3036
Q13155	Q13155	AIMP2_HUMAN	AIMP2	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	58.7094	71.5919	83.4203
Q13162	Q13162	PRDX4_HUMAN	PRDX4	Peroxiredoxin-4	70.7415	75.4171	97.8803
Q13177	Q13177	PAK2_HUMAN	PAK2	Serine/threonine-protein kinase PAK 2	86.796	88.6181	90.3604
Q13185	Q13185	CBX3_HUMAN	CBX3	Chromobox protein homolog 3	78.7881	97.1486	95.8443
Q13188	Q13188	STK3_HUMAN	STK3	Serine/threonine-protein kinase 3			13.8771
Q13200	Q13200	PSMD2_HUMAN	PSMD2	26S proteasome non-ATPase regulatory subunit 2	172.254	156.54	189.529
Q13217	Q13217	DNJC3_HUMAN	DNAJC3	DnaJ homolog subfamily C member 3			18.4562
Q13232	Q13232	NDK3_HUMAN	NME3	Nucleoside diphosphate kinase 3	26.1956		19.6174
Q13242	Q13242	SRSF9_HUMAN	SRSF9	Serine/arginine-rich splicing factor 9	37.0198	37.0149	30.3164
Q13243	Q13243	SRSF5_HUMAN	SRSF5	Serine/arginine-rich splicing factor 5	30.6945		33.6917
Q13243;Q13247	Q13247;Q13243;Q08170	SRSF5_HUMAN;SRSF6_HUMAN	SRSF5;SRSF6	Serine/arginine-rich splicing factor 5	316.173	380.192	293.68
Q13247	Q13247;Q08170	SRSF6_HUMAN	SRSF6	Serine/arginine-rich splicing factor 6	65.8522	74.7668	63.0991
Q13257	Q13257	MD2L1_HUMAN	MAD2L1	Mitotic spindle assembly checkpoint protein MAD2A	94.0536	96.0186	92.5538
Q13263	Q13263	TIF1B_HUMAN	TRIM28	Transcription intermediary factor 1-beta	689.48	673.764	731.205
Q13283	Q13283	G3BP1_HUMAN	G3BP1	Ras GTPase-activating protein-binding protein 1	197.712	192.857	194.915
Q13283;Q9UN86	Q9UN86;Q13283	G3BP1_HUMAN;G3BP2_HUMAN	G3BP1;G3BP2	Ras GTPase-activating protein-binding protein 1	79.2901	67.0917	60.6652
Q13308	Q13308	PTK7_HUMAN	PTK7	Inactive tyrosine-protein kinase 7	47.139	47.78	45.7625
Q13310	Q13310	PABP4_HUMAN	PABPC4	Polyadenylate-binding protein 4	150.416	161.81	130.129
Q13325	Q13325	IFIT5_HUMAN	IFIT5	Interferon-induced protein with tetratricopeptide repeats 5	16.8502		22.326
Q13330	Q13330;Q9BTC8	MTA1_HUMAN	MTA1	Metastasis-associated protein MTA1	19.5149	24.8564	17.2682
Q13347	Q13347	EIF3I_HUMAN	EIF3I	Eukaryotic translation initiation factor 3 subunit I	113.397	118.704	112.482
Q13362	Q13362	2A5G_HUMAN	PPP2R5C	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform	12.6213	12.7489	22.1246
Q13362;Q14738	Q13362;Q14738	2A5D_HUMAN;2A5G_HUMAN	PPP2R5C;PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform	35.3803		40.5693
Q13363	Q13363	CTBP1_HUMAN	CTBP1	C-terminal-binding protein 1	25.3369	29.7329	26.2816
Q13371	Q13371	PHLP_HUMAN	PDCL	Phosducin-like protein	10.4049	15.1152	4.10365
Q13404	Q13404	UB2V1_HUMAN	UBE2V1	Ubiquitin-conjugating enzyme E2 variant 1	242.768	213.291	242.721
Q13404;Q15819	Q15819;Q13404	UB2V1_HUMAN;UB2V2_HUMAN	UBE2V1;UBE2V2	Ubiquitin-conjugating enzyme E2 variant 1	193.382	184.697	212.788
Q13405	Q13405	RM49_HUMAN	MRPL49	39S ribosomal protein L49, mitochondrial	26.1228	13.1274	31.765
Q13409	Q13409	DC1I2_HUMAN	DYNC1I2	Cytoplasmic dynein 1 intermediate chain 2	28.9933	22.6368	24.0787
Q13418	Q13418	ILK_HUMAN	ILK	Integrin-linked protein kinase	43.2879	39.2967	28.8959
Q13425	Q13425	SNTB2_HUMAN	SNTB2	Beta-2-syntrophin	20.5796	23.4148	28.1069
Q13426	Q13426	XRCC4_HUMAN	XRCC4	DNA repair protein XRCC4	14.2334	16.9238	8.11747
Q13428	Q13428	TCOF_HUMAN	TCOF1	Treacle protein	61.123	49.5279	65.589
Q13435	Q13435	SF3B2_HUMAN	SF3B2	Splicing factor 3B subunit 2	120.632	135.374	136.168
Q13438	Q13438	OS9_HUMAN	OS9	Protein OS-9			10.2986
Q13442	Q13442	HAP28_HUMAN	PDAP1	28 kDa heat- and acid-stable phosphoprotein	141.324	156.418	184.131
Q13443	Q13443	ADAM9_HUMAN	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9	10.0621	10.0369	25.0176
Q13445	Q13445	TMED1_HUMAN	TMED1	Transmembrane emp24 domain-containing protein 1	8.38899		6.31897
Q13451	Q13451	FKBP5_HUMAN	FKBP5	Peptidyl-prolyl cis-trans isomerase FKBP5	55.0961	57.9547	58.842
Q13485	Q13485	SMAD4_HUMAN	SMAD4	Mothers against decapentaplegic homolog 4			23.0297
Q13492	Q13492;O60641	PICAL_HUMAN	PICALM	Phosphatidylinositol-binding clathrin assembly protein	21.5677		10.5028
Q13501	Q13501	SQSTM_HUMAN	SQSTM1	Sequestosome-1	18.2459	19.0732	16.0792
Q13505	Q13505	MTX1_HUMAN	MTX1	Metaxin-1	15.3635	39.2122	38.4671
Q13509	Q13509	TBB3_HUMAN	TUBB3	Tubulin beta-3 chain	65.8806	52.2642	60.3006
Q13509;Q9BUF5	Q13509;Q9BUF5	TBB3_HUMAN;TBB6_HUMAN	TUBB3;TUBB6	Tubulin beta-3 chain	91.9812	130.407	141.66
Q13526	Q13526	PIN1_HUMAN	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	25.2432	28.6562	36.5097
Q13547	Q13547	HDAC1_HUMAN	HDAC1	Histone deacetylase 1	62.1874	53.7819	54.4655
Q13547;Q92769	Q92769;Q13547	HDAC1_HUMAN;HDAC2_HUMAN	HDAC1;HDAC2	Histone deacetylase 1	278.703	233.349	267.554
Q13554;Q13555	Q13554;Q13555	KCC2B_HUMAN;KCC2G_HUMAN	CAMK2B;CAMK2G	Calcium/calmodulin-dependent protein kinase type II subunit beta	11.268		4.11242
Q13561	Q13561	DCTN2_HUMAN	DCTN2	Dynactin subunit 2	61.0768	50.5787	55.8803
Q13564	Q13564	ULA1_HUMAN	NAE1	NEDD8-activating enzyme E1 regulatory subunit	38.6858	27.3868	37.0268
Q13572	Q13572	ITPK1_HUMAN	ITPK1	Inositol-tetrakisphosphate 1-kinase	27.0754	14.7737	
Q13573	Q13573	SNW1_HUMAN	SNW1	SNW domain-containing protein 1	18.8816	19.4043	11.6786
Q13596	Q13596	SNX1_HUMAN	SNX1	Sorting nexin-1	29.4165	24.9456	30.0895
Q13601	Q13601	KRR1_HUMAN	KRR1	KRR1 small subunit processome component homolog	11.1745		
Q13610	Q13610	PWP1_HUMAN	PWP1	Periodic tryptophan protein 1 homolog			8.91175
Q13613	Q13613	MTMR1_HUMAN	MTMR1	Myotubularin-related protein 1		7.07508	
Q13616	Q13616	CUL1_HUMAN	CUL1	Cullin-1	19.6239	20.0927	29.807
